library_info,time,shot,LLM,total_rows,ollama_timeout_count,hex_conversion_exception_count,exception_count,format_mismatch_case1_count,format_mismatch_case2_count,correct_format_count,format_mismatch_ratio (%),hex_conversion_exception_rate (%),ollama_timeout_rate (%),format_correctness_rate (%)
bloaty_fuzz_target,1,0,Llama3.3,11,0,0,0,0,0,2,0.0,0.0,0.0,18.18
bloaty_fuzz_target,1,1,Llama3.3,34,0,0,0,32,0,2,94.12,0.0,0.0,5.88
bloaty_fuzz_target,1,3,Llama3.3,50,0,4,4,35,0,15,70.0,100.0,0.0,30.0
bloaty_fuzz_target,4,0,Llama3.3,38,0,2,30,28,0,7,73.68,6.67,0.0,18.42
bloaty_fuzz_target,4,1,Llama3.3,40,1,1,2,4,0,35,10.0,50.0,2.5,87.5
bloaty_fuzz_target,4,3,Llama3.3,129,27,39,66,43,0,59,33.33,59.09,20.93,45.74
bloaty_fuzz_target_52948c,1,0,Llama3.3,24,0,9,9,1,1,18,8.33,100.0,0.0,75.0
bloaty_fuzz_target_52948c,1,1,Llama3.3,95,1,21,22,58,0,36,61.05,95.45,1.05,37.89
bloaty_fuzz_target_52948c,1,3,Llama3.3,99,0,85,85,0,0,99,0.0,100.0,0.0,100.0
bloaty_fuzz_target_52948c,4,0,Llama3.3,60,0,10,20,11,1,43,20.0,50.0,0.0,71.67
bloaty_fuzz_target_52948c,4,1,Llama3.3,37,0,32,32,0,0,37,0.0,100.0,0.0,100.0
bloaty_fuzz_target_52948c,4,3,Llama3.3,150,5,42,47,80,0,65,53.33,89.36,3.33,43.33
curl_curl_fuzzer_http,1,0,Deepseek-r1-Distill-Llama-70B,171,0,26,26,127,1,44,74.85,100.0,0.0,25.73
curl_curl_fuzzer_http,1,0,Gemma3-27B,478,0,138,138,279,4,199,59.21,100.0,0.0,41.63
curl_curl_fuzzer_http,1,0,Llama3.3,9,0,2,2,0,0,3,0.0,100.0,0.0,33.33
curl_curl_fuzzer_http,1,0,QwQ-32B,502,0,140,140,301,4,201,60.76,100.0,0.0,40.04
curl_curl_fuzzer_http,1,1,Deepseek-r1-Distill-Llama-70B,569,0,143,143,333,31,236,63.97,100.0,0.0,41.48
curl_curl_fuzzer_http,1,1,Gemma3-27B,843,31,274,308,367,0,442,43.53,88.96,3.68,52.43
curl_curl_fuzzer_http,1,1,Llama3.3,91,0,33,33,36,0,55,39.56,100.0,0.0,60.44
curl_curl_fuzzer_http,1,1,QwQ-32B,40,0,10,10,27,0,13,67.5,100.0,0.0,32.5
curl_curl_fuzzer_http,1,3,Deepseek-r1-Distill-Llama-70B,394,0,107,107,232,4,162,59.9,100.0,0.0,41.12
curl_curl_fuzzer_http,1,3,Gemma3-27B,302,0,103,103,162,1,140,53.97,100.0,0.0,46.36
curl_curl_fuzzer_http,1,3,Llama3.3,227,2,123,125,40,0,185,17.62,98.4,0.88,81.5
curl_curl_fuzzer_http,1,3,QwQ-32B,327,0,106,106,175,4,152,54.74,100.0,0.0,46.48
curl_curl_fuzzer_http,4,0,Deepseek-r1-Distill-Llama-70B,542,11,214,228,182,0,346,33.58,93.86,2.03,63.84
curl_curl_fuzzer_http,4,0,Gemma3-27B,479,11,195,209,155,0,310,32.36,93.3,2.3,64.72
curl_curl_fuzzer_http,4,0,Llama3.3,67,0,47,48,0,1,66,1.49,97.92,0.0,98.51
curl_curl_fuzzer_http,4,0,QwQ-32B,584,18,214,235,217,0,346,37.16,91.06,3.08,59.25
curl_curl_fuzzer_http,4,1,Deepseek-r1-Distill-Llama-70B,784,26,250,279,346,0,409,44.13,89.61,3.32,52.17
curl_curl_fuzzer_http,4,1,Gemma3-27B,716,25,249,277,290,0,398,40.5,89.89,3.49,55.59
